feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
aint,25,CTX1t,FS,0.0,0.0,0.0
aint,25,CTX1t,FScot,0.0,0.0,0.0
aint,25,CTX1t,ZS,0.0,0.0,0.0
aint,25,CTX1t,ZScot,0.0,0.0,0.0
aint,25,CTX2t,FS,0.0,0.0,0.0
aint,25,CTX2t,FScot,0.0,0.0,0.0
aint,25,CTX2t,ZS,0.0,0.0,0.0
aint,25,CTX2t,ZScot,0.0,0.0,0.0
aint,25,noCTX,FS,0.0,0.0,0.0
aint,25,noCTX,FScot,0.0,0.0,0.0
aint,25,noCTX,ZS,0.0,0.0,0.0
aint,25,noCTX,ZScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX1t,FS,-0.012500000000000011,0.0,-0.012987012987012991
appositive-pleonastic-pronoun,25,CTX1t,FScot,-0.06060606060606061,0.0,-0.047058823529411764
appositive-pleonastic-pronoun,25,CTX1t,ZS,0.037500000000000006,0.0,0.041958041958041925
appositive-pleonastic-pronoun,25,CTX1t,ZScot,-0.041958041958041925,0.0,-0.03715170278637775
appositive-pleonastic-pronoun,25,CTX2t,FS,0.06666666666666665,0.16666666666666663,0.09523809523809523
appositive-pleonastic-pronoun,25,CTX2t,FScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX2t,ZS,-0.011029411764705871,0.0,-0.01185770750988141
appositive-pleonastic-pronoun,25,CTX2t,ZScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,noCTX,FS,-0.022727272727272707,0.0,-0.019607843137254943
appositive-pleonastic-pronoun,25,noCTX,FScot,-0.0076923076923077205,-0.16666666666666663,-0.046052631578947345
appositive-pleonastic-pronoun,25,noCTX,ZS,-0.0625,0.0,-0.06060606060606061
appositive-pleonastic-pronoun,25,noCTX,ZScot,0.04999999999999999,0.0,0.041666666666666685
bare-got,25,CTX1t,FS,0.1428571428571429,0.20000000000000007,0.18300653594771232
bare-got,25,CTX1t,FScot,0.09722222222222221,0.0,0.040935672514619936
bare-got,25,CTX1t,ZS,0.0,0.0,0.0
bare-got,25,CTX1t,ZScot,0.031746031746031744,0.20000000000000007,0.13622291021671817
bare-got,25,CTX2t,FS,0.2857142857142857,0.09999999999999998,0.16176470588235292
