feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
aint,25,CTX1t,FS,0.0,0.0,0.0
aint,25,CTX1t,ZS,0.0,0.0,0.0
aint,25,CTX1t,ZScot,0.0,0.0,0.0
aint,25,CTX2t,FS,0.0,0.0,0.0
aint,25,CTX2t,ZS,0.0,0.0,0.0
aint,25,noCTX,FS,0.0,0.0,0.0
aint,25,noCTX,ZS,0.0,0.0,0.0
aint,25,noCTX,ZScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX1t,FS,0.018181818181818188,0.0,0.02197802197802201
appositive-pleonastic-pronoun,25,CTX1t,ZS,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX1t,ZScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX2t,FS,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX2t,ZS,-0.018181818181818188,0.0,-0.02197802197802201
appositive-pleonastic-pronoun,25,noCTX,FS,0.015151515151515166,0.0,0.019047619047619035
appositive-pleonastic-pronoun,25,noCTX,ZS,0.018181818181818188,0.0,0.02197802197802201
appositive-pleonastic-pronoun,25,noCTX,ZScot,0.0,0.0,0.0
bare-got,25,CTX1t,FS,0.0,0.0,0.0
bare-got,25,CTX1t,ZS,0.023809523809523725,0.0,0.013986013986014068
bare-got,25,CTX1t,ZScot,-0.017857142857142905,-0.1428571428571429,-0.07619047619047625
bare-got,25,CTX2t,FS,0.0,0.0,0.0
bare-got,25,CTX2t,ZS,-0.023809523809523725,-0.16666666666666663,-0.08974358974358976
bare-got,25,noCTX,FS,0.08333333333333337,-0.16666666666666663,-0.023809523809523725
bare-got,25,noCTX,ZS,-0.05714285714285705,-0.19047619047619047,-0.1298701298701298
bare-got,25,noCTX,ZScot,0.125,0.1428571428571429,0.1333333333333333
be-construction,25,CTX1t,FS,0.0,0.0,0.0
be-construction,25,CTX1t,ZS,-0.33333333333333337,0.0,-0.13333333333333341
be-construction,25,CTX1t,ZScot,0.0,0.0,0.0
be-construction,25,CTX2t,FS,0.0,0.0,0.0
be-construction,25,CTX2t,ZS,-0.33333333333333337,0.0,-0.13333333333333341
be-construction,25,noCTX,FS,0.0,0.0,0.0
be-construction,25,noCTX,ZS,0.0,0.0,0.0
be-construction,25,noCTX,ZScot,0.0,0.0,0.0
bin,25,CTX1t,FS,0.0,0.0,0.0
bin,25,CTX1t,ZS,0.0,0.0,0.0
bin,25,CTX1t,ZScot,0.0,0.0,0.0
bin,25,CTX2t,FS,0.0,0.0,0.0
bin,25,CTX2t,ZS,0.0,0.0,0.0
bin,25,noCTX,FS,0.0,0.0,0.0
bin,25,noCTX,ZS,0.0,0.0,0.0
bin,25,noCTX,ZScot,0.0,0.0,0.0
existential-it,25,CTX1t,FS,-0.0784313725490196,-0.0714285714285714,-0.09276729559748431
existential-it,25,CTX1t,ZS,0.03594771241830064,0.1428571428571429,0.06000000000000005
existential-it,25,CTX1t,ZScot,0.0,0.0,0.0
existential-it,25,CTX2t,FS,-0.07095343680709537,0.06593406593406603,-0.06619385342789597
existential-it,25,CTX2t,ZS,0.05141129032258063,-0.0714285714285714,0.04140786749482395
existential-it,25,noCTX,FS,-0.011477761836441891,0.07692307692307687,-0.001547388781431347
existential-it,25,noCTX,ZS,-0.05824372759856633,-0.0714285714285714,-0.07090909090909092
existential-it,25,noCTX,ZScot,0.0696969696969697,0.07142857142857151,0.08027079303675055
is-was-gen,25,CTX1t,FS,0.02083333333333337,-0.0714285714285714,-0.01666666666666672
is-was-gen,25,CTX1t,ZS,-0.027450980392156765,0.01098901098901095,-0.011520737327188946
is-was-gen,25,CTX1t,ZScot,0.03921568627450989,0.0,0.024193548387096753
is-was-gen,25,CTX2t,FS,-0.06666666666666665,0.01098901098901095,-0.0357142857142857
is-was-gen,25,CTX2t,ZS,0.03921568627450989,0.023809523809523725,0.03345280764635605
is-was-gen,25,noCTX,FS,-0.019607843137254832,-0.0714285714285714,-0.040322580645161255
is-was-gen,25,noCTX,ZS,0.019607843137254832,0.01098901098901095,0.01666666666666672
is-was-gen,25,noCTX,ZScot,0.0743034055727555,0.0,0.04692082111436946
multiple-neg,25,CTX1t,FS,0.07428571428571429,-0.0625,0.030323005932762048
multiple-neg,25,CTX1t,ZS,-0.02717391304347827,-0.0625,-0.03947368421052633
multiple-neg,25,CTX1t,ZScot,-0.06060606060606066,0.0,-0.042105263157894646
multiple-neg,25,CTX2t,FS,-0.07509881422924902,-0.0625,-0.07287449392712542
multiple-neg,25,CTX2t,ZS,-0.06818181818181823,0.0,-0.04385964912280704
multiple-neg,25,noCTX,FS,-0.029644268774703497,0.0,-0.020242914979757054
multiple-neg,25,noCTX,ZS,0.05681818181818177,0.0,0.03947368421052633
multiple-neg,25,noCTX,ZScot,0.0,0.0,0.0
