feature,feature_set,d_precision_CTX_minus_noCTX,d_recall_CTX_minus_noCTX,d_f1_CTX_minus_noCTX
aint,25,-0.030555555555555558,0.0,-0.014828431372548967
appositive-pleonastic-pronoun,25,-0.16263854018788232,0.01171875,-0.08888177015294257
bare-got,25,0.06751801006845726,-0.0982142857142857,0.030264196218351302
be-construction,25,-0.05235360936792824,-0.046875,-0.06649017583799377
bin,25,-0.002083333333333326,0.004807692307692291,0.000661375661375696
come,25,0.0,0.0,0.0
demonstrative-them,25,0.022619047619047608,0.03125,0.020535714285714296
double-modal,25,0.0,0.0,0.0
double-object,25,-0.08864397448956274,-0.171875,-0.07534679802481659
double-tense,25,0.0,0.0,0.0
existential-it,25,-0.05782456922162804,-0.07738095238095238,-0.07694703773156235
finna,25,0.0,0.0,0.0
is-was-gen,25,0.2946511480379781,-0.13194444444444442,0.14531482529934103
multiple-neg,25,0.05872885630087521,0.0,0.05582715631532409
n-inv-neg-concord,25,0.0,0.0,0.0
neg-inversion,25,0.006423611111111109,0.125,0.015079365079365067
past-tense-swap,25,0.008953594315122368,0.010416666666666685,0.012167356242668875
preterite-had,25,0.0026498019788692845,-0.1696428571428571,-0.0016645495296677693
resultant-done,25,0.07187500000000002,0.0,0.054315476190476164
verb-stem,25,0.011210637712329982,0.03532608695652173,0.017318570955877854
zero-3sg-pres-s,25,-0.023794678924351276,-0.029891304347826053,-0.02128574582566184
zero-copula,25,-0.003339223287046611,0.04166666666666663,-0.0023934923849033563
zero-pl-s,25,0.0795797823177854,-0.025000000000000022,0.010209235209235223
zero-poss,25,-0.00656778237479462,-0.03750000000000009,-0.012126605532971235
zero-rel-pronoun,25,-0.01597171736855116,-0.140625,-0.028503791531893485
