feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
aint,25,CTX1t,FS,0.0714285714285714,0.0,0.06060606060606066
aint,25,CTX1t,FScot,0.15311004784688997,0.0,0.1855072463768116
aint,25,CTX1t,ZS,-0.19999999999999996,0.0,-0.11111111111111116
aint,25,CTX1t,ZScot,0.22857142857142865,0.0,0.16161616161616155
aint,25,CTX2t,FS,0.3214285714285714,0.0,0.32727272727272727
aint,25,CTX2t,FScot,0.07608695652173914,0.0,0.10370370370370374
aint,25,CTX2t,ZS,-0.13333333333333341,0.0,-0.0888888888888888
aint,25,CTX2t,ZScot,0.09523809523809523,0.0,0.07272727272727275
aint,25,noCTX,FS,0.18972332015810278,0.0,0.23703703703703705
aint,25,noCTX,FScot,0.12466124661246611,0.0,0.18585858585858586
aint,25,noCTX,ZS,0.33333333333333337,0.0,0.19999999999999996
aint,25,noCTX,ZScot,0.3555555555555556,0.0,0.2735042735042734
appositive-pleonastic-pronoun,25,CTX1t,FS,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX1t,FScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX1t,ZS,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX1t,ZScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX2t,FS,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX2t,FScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX2t,ZS,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX2t,ZScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,noCTX,FS,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,noCTX,FScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,noCTX,ZS,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,noCTX,ZScot,0.0,0.0,0.0
bare-got,25,CTX1t,FS,0.0,0.0,0.0
bare-got,25,CTX1t,FScot,0.0,0.0,0.0
bare-got,25,CTX1t,ZS,-0.11764705882352941,-0.33333333333333337,-0.17391304347826086
bare-got,25,CTX1t,ZScot,0.07738095238095236,0.16666666666666663,0.1111111111111111
bare-got,25,CTX2t,FS,0.125,0.16666666666666666,0.14285714285714285
bare-got,25,CTX2t,FScot,0.25,0.0,0.04999999999999999
bare-got,25,CTX2t,ZS,-0.01307189542483661,0.0,-0.014492753623188415
bare-got,25,CTX2t,ZScot,0.01633986928104575,0.0,0.018115942028985477
bare-got,25,noCTX,FS,0.18181818181818182,0.3333333333333333,0.23529411764705882
bare-got,25,noCTX,FScot,-0.08333333333333334,0.0,-0.033333333333333354
bare-got,25,noCTX,ZS,-0.12745098039215688,-0.5,-0.21256038647342995
bare-got,25,noCTX,ZScot,-0.031746031746031744,-0.33333333333333337,-0.06734006734006737
be-construction,25,CTX1t,FS,0.0,0.0,0.0
be-construction,25,CTX1t,FScot,0.0,0.0,0.0
be-construction,25,CTX1t,ZS,-0.04,-0.3333333333333333,-0.07142857142857142
be-construction,25,CTX1t,ZScot,-0.003154205607476637,-0.3333333333333333,-0.006358059118795317
be-construction,25,CTX2t,FS,0.0,0.0,0.0
be-construction,25,CTX2t,FScot,-0.08333333333333333,-0.6666666666666666,-0.14814814814814814
be-construction,25,CTX2t,ZS,-0.045454545454545456,-0.3333333333333333,-0.08
be-construction,25,CTX2t,ZScot,0.001185081910073195,-0.33333333333333337,0.0018552875695732815
be-construction,25,noCTX,FS,0.0,0.0,0.0
be-construction,25,noCTX,FScot,0.0,0.0,0.0
be-construction,25,noCTX,ZS,0.0,0.0,0.0
be-construction,25,noCTX,ZScot,0.007153261045476613,0.33333333333333337,0.014017521902377972
bin,25,CTX1t,FS,0.3,0.0,0.2637362637362637
bin,25,CTX1t,FScot,1.0,0.3333333333333333,0.5
bin,25,CTX1t,ZS,-0.035714285714285726,0.33333333333333337,-0.010695187165775388
bin,25,CTX1t,ZScot,-0.05603448275862069,-0.33333333333333337,-0.09722222222222221
bin,25,CTX2t,FS,0.20833333333333331,0.3333333333333333,0.2626262626262626
bin,25,CTX2t,FScot,0.0,0.0,0.0
bin,25,CTX2t,ZS,-0.10317460317460317,0.0,-0.15294117647058825
