feature,feature_set,d_precision_CTX_minus_noCTX,d_recall_CTX_minus_noCTX,d_f1_CTX_minus_noCTX
aint,25,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,-0.02417500926955879,-0.004166666666666652,-0.02202692979751264
bare-got,25,-0.0106209150326797,-0.012044817927170826,-0.01316867106340791
be-construction,25,-0.04166666666666674,-0.04166666666666674,-0.04166666666666674
bin,25,0.0,0.038461538461538436,0.020000000000000018
demonstrative-them,25,0.0,0.0,0.0
double-object,25,0.0,-0.08333333333333326,-0.06666666666666665
existential-it,25,-0.0013586956521738913,-0.023809523809523836,-0.005840363400389403
is-was-gen,25,-0.001886520737327202,-0.0015384615384614886,-0.001914833619783729
multiple-neg,25,0.026866446725317683,0.0,0.014545507961689852
neg-inversion,25,0.0,0.0,0.0
past-tense-swap,25,0.03508771929824561,0.022727272727272763,0.03333333333333338
preterite-had,25,0.019047619047619035,-0.14285714285714285,-0.0976190476190476
resultant-done,25,0.0,0.0,0.0
verb-stem,25,-0.10065227170490332,0.016304347826086973,-0.02380952380952378
zero-3sg-pres-s,25,0.00515873015873014,0.022727272727272707,0.010812390414961959
zero-copula,25,-0.013258721516434813,0.00022163120567386674,-0.011438701899441739
zero-pl-s,25,0.09027777777777779,0.19999999999999996,0.12454212454212454
zero-poss,25,-0.009840159840159846,0.0,-0.0039282990083905345
zero-rel-pronoun,25,-0.05357142857142855,0.0,-0.03409090909090909
