feature,feature_set,instr,leg,d_precision_noCTX_minus_CTX1t,d_recall_noCTX_minus_CTX1t,d_f1_noCTX_minus_CTX1t
aint,25,FS,Leg,0.0,0.0,0.0
aint,25,FS,noLeg,0.0,0.0,0.0
aint,25,FScot,Leg,0.0,0.0,0.0
aint,25,FScot,noLeg,0.0,0.0,0.0
aint,25,ZS,Leg,0.0,0.0,0.0
aint,25,ZS,noLeg,0.0,0.0,0.0
aint,25,ZScot,Leg,0.0,0.0,0.0
aint,25,ZScot,noLeg,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,FS,Leg,0.08528428093645479,0.0,0.0400313971742543
appositive-pleonastic-pronoun,25,FS,noLeg,0.09615384615384615,-0.07692307692307698,-0.0016722408026755842
appositive-pleonastic-pronoun,25,FScot,Leg,-0.04040404040404044,-0.15384615384615385,-0.11363636363636365
appositive-pleonastic-pronoun,25,FScot,noLeg,-0.10924369747899154,0.038461538461538436,-0.0128649183572489
appositive-pleonastic-pronoun,25,ZS,Leg,-0.0013262599469495706,-0.07692307692307687,-0.03706293706293706
appositive-pleonastic-pronoun,25,ZS,noLeg,0.17654808959156787,-0.07692307692307698,0.05672777585610522
appositive-pleonastic-pronoun,25,ZScot,Leg,0.050000000000000044,-0.07692307692307687,-0.024347826086956514
appositive-pleonastic-pronoun,25,ZScot,noLeg,-0.06190476190476191,-0.07692307692307698,-0.07215541165587414
bare-got,25,FS,Leg,-0.125,0.0,-0.043243243243243246
bare-got,25,FS,noLeg,-0.06190476190476191,0.0,-0.020634920634920673
bare-got,25,FScot,Leg,-0.1098039215686275,0.0,-0.040935672514619936
bare-got,25,FScot,noLeg,0.0,0.0,0.0
bare-got,25,ZS,Leg,-0.06190476190476191,0.0,-0.020634920634920673
bare-got,25,ZS,noLeg,-0.06190476190476191,0.0,-0.020634920634920673
bare-got,25,ZScot,Leg,-0.0625,-0.04761904761904767,-0.05405405405405406
bare-got,25,ZScot,noLeg,0.004761904761904745,0.04761904761904756,0.03492063492063491
be-construction,25,FS,Leg,0.25,-0.25,-0.08333333333333337
be-construction,25,FS,noLeg,-0.33333333333333337,-0.25,-0.2857142857142857
be-construction,25,FScot,Leg,-0.25,0.0,-0.1071428571428571
be-construction,25,FScot,noLeg,0.08333333333333337,0.25,0.1785714285714286
be-construction,25,ZS,Leg,0.25,-0.5,-0.35
be-construction,25,ZS,noLeg,0.25,-0.25,-0.08333333333333337
be-construction,25,ZScot,Leg,-0.33333333333333337,-0.25,-0.2857142857142857
be-construction,25,ZScot,noLeg,-0.08333333333333337,-0.25,-0.1785714285714286
bin,25,FS,Leg,0.0,-0.07692307692307687,-0.040000000000000036
bin,25,FS,noLeg,0.0,-0.23076923076923084,-0.14181818181818173
bin,25,FScot,Leg,0.0,-0.07692307692307687,-0.040000000000000036
bin,25,FScot,noLeg,0.0,0.0,0.0
bin,25,ZS,Leg,0.0,-0.07692307692307687,-0.040000000000000036
bin,25,ZS,noLeg,0.0,-0.07692307692307687,-0.040000000000000036
bin,25,ZScot,Leg,0.0,-0.15384615384615385,-0.09043478260869564
bin,25,ZScot,noLeg,0.0,-0.07692307692307687,-0.040000000000000036
demonstrative-them,25,FS,Leg,0.0,-0.5,-0.09999999999999998
demonstrative-them,25,FS,noLeg,-0.16666666666666669,0.0,-0.16666666666666663
demonstrative-them,25,FScot,Leg,0.0,0.0,0.0
demonstrative-them,25,FScot,noLeg,0.0,0.0,0.0
demonstrative-them,25,ZS,Leg,0.5,0.0,0.33333333333333337
demonstrative-them,25,ZS,noLeg,0.6,0.0,0.4285714285714286
demonstrative-them,25,ZScot,Leg,0.0,0.0,0.0
demonstrative-them,25,ZScot,noLeg,0.0,0.0,0.0
double-object,25,FS,Leg,0.0,0.0,0.0
double-object,25,FS,noLeg,0.0,0.0,0.0
double-object,25,FScot,Leg,0.0,0.0,0.0
double-object,25,FScot,noLeg,0.0,0.0,0.0
double-object,25,ZS,Leg,0.0,0.0,0.0
double-object,25,ZS,noLeg,0.0,0.0,0.0
double-object,25,ZScot,Leg,0.0,0.0,0.0
double-object,25,ZScot,noLeg,0.0,0.0,0.0
double-tense,25,FS,Leg,0.0,0.0,0.0
double-tense,25,FS,noLeg,0.0,0.0,0.0
double-tense,25,FScot,Leg,0.0,0.0,0.0
double-tense,25,ZS,Leg,0.0,0.0,0.0
double-tense,25,ZS,noLeg,0.0,0.0,0.0
existential-it,25,FS,Leg,-0.02499999999999991,-0.03333333333333344,-0.02857142857142858
existential-it,25,FS,noLeg,-0.12083333333333329,-0.033333333333333326,-0.09597069597069596
existential-it,25,FScot,Leg,-0.021052631578947323,0.033333333333333326,0.0009049773755656076
existential-it,25,FScot,noLeg,0.021621621621621623,-0.033333333333333326,0.0008528784648187404
existential-it,25,ZS,Leg,-0.06847826086956521,-0.20000000000000007,-0.1150375939849625
existential-it,25,ZS,noLeg,-0.04397163120567371,-0.10000000000000009,-0.06337662337662331
existential-it,25,ZScot,Leg,-0.018716577540106916,-0.024137931034482807,-0.02116935483870963
existential-it,25,ZScot,noLeg,-0.01764705882352946,0.0,-0.01009615384615381
is-was-gen,25,FS,Leg,0.06546489563567359,0.0,0.037725533078184825
is-was-gen,25,FS,noLeg,0.021390374331550777,0.0,0.012691697514542577
is-was-gen,25,FScot,Leg,-0.12988505747126433,-0.1071428571428572,-0.11917725347852381
is-was-gen,25,FScot,noLeg,0.0,0.0,0.0
is-was-gen,25,ZS,Leg,0.0505050505050505,-0.1071428571428571,-0.02324888226527566
is-was-gen,25,ZS,noLeg,0.008064516129032251,-0.0714285714285714,-0.029661016949152574
is-was-gen,25,ZScot,Leg,0.08518518518518514,0.0,0.04326018808777421
is-was-gen,25,ZScot,noLeg,0.0052246603970742544,-0.1071428571428572,-0.04544147253379349
multiple-neg,25,FS,Leg,0.04787644787644785,0.0,0.026050420168067245
multiple-neg,25,FS,noLeg,0.04532163742690065,0.0,0.025311288017962896
multiple-neg,25,FScot,Leg,-0.05698529411764708,0.0,-0.028473019517795684
multiple-neg,25,FScot,noLeg,-0.08303571428571432,0.0,-0.04208144796380098
multiple-neg,25,ZS,Leg,0.02327327327327333,0.0,0.012836438923395477
