feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
aint,25,CTX1t,FS,0.0,0.0,0.0
aint,25,CTX1t,FScot,0.0,0.0,0.0
aint,25,CTX1t,ZS,0.0,0.0,0.0
aint,25,CTX1t,ZScot,0.0,0.0,0.0
aint,25,noCTX,FS,0.0,0.0,0.0
aint,25,noCTX,FScot,0.0,0.0,0.0
aint,25,noCTX,ZS,0.0,0.0,0.0
aint,25,noCTX,ZScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX1t,FS,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX1t,FScot,-0.005347593582887611,0.15384615384615385,0.09883720930232553
appositive-pleonastic-pronoun,25,CTX1t,ZS,0.04911180773249735,-0.03846153846153855,0.012942989214175693
appositive-pleonastic-pronoun,25,CTX1t,ZScot,-0.011904761904761862,0.07692307692307687,0.039148936170212756
appositive-pleonastic-pronoun,25,noCTX,FS,-0.010869565217391353,0.07692307692307698,0.041703637976929886
appositive-pleonastic-pronoun,25,noCTX,FScot,0.06349206349206349,-0.038461538461538436,-0.0019342359767892114
appositive-pleonastic-pronoun,25,noCTX,ZS,-0.1287625418060201,-0.038461538461538436,-0.08084772370486659
appositive-pleonastic-pronoun,25,noCTX,ZScot,0.10000000000000009,0.07692307692307698,0.08695652173913038
bare-got,25,CTX1t,FS,0.0714285714285714,0.04761904761904756,0.05714285714285716
bare-got,25,CTX1t,FScot,0.05833333333333335,0.0,0.02102102102102099
bare-got,25,CTX1t,ZS,0.0,0.0,0.0
bare-got,25,CTX1t,ZScot,0.008928571428571397,0.09523809523809523,0.06795366795366797
bare-got,25,noCTX,FS,0.008333333333333304,0.04761904761904756,0.03453453453453459
bare-got,25,noCTX,FScot,-0.05147058823529416,0.0,-0.019914651493598945
bare-got,25,noCTX,ZS,0.0,0.0,0.0
bare-got,25,noCTX,ZScot,-0.05833333333333335,0.0,-0.02102102102102099
be-construction,25,CTX1t,FS,-0.25,0.0,-0.1071428571428571
be-construction,25,CTX1t,FScot,0.33333333333333337,0.25,0.2857142857142857
be-construction,25,CTX1t,ZS,0.0,0.0,0.0
be-construction,25,CTX1t,ZScot,0.25,0.0,0.1071428571428571
be-construction,25,noCTX,FS,0.33333333333333337,0.0,0.09523809523809523
