feature,mean_f1
aint,1.0
bin,0.9629841897233201
multiple-neg,0.9100560192062747
resultant-done,0.9071428571428571
double-object,0.8571428571428571
demonstrative-them,0.831547619047619
is-was-gen,0.7990190225366655
zero-3sg-pres-s,0.7899820307959898
zero-pl-s,0.7590263902763903
bare-got,0.7542706710469869
zero-copula,0.7380734820862551
be-construction,0.6931547619047619
appositive-pleonastic-pronoun,0.674511386567241
zero-poss,0.6509448586832147
existential-it,0.6404292490510773
preterite-had,0.6397326803528429
past-tense-swap,0.5497903056649397
n-inv-neg-concord,0.5416666666666666
zero-rel-pronoun,0.5207718537219248
verb-stem,0.22284172767612132
neg-inversion,0.12291666666666667
double-tense,0.0
double-modal,0.0
come,0.0
