feature,f1_CTX1t,f1_noCTX,delta,wilcoxon_stat,wilcoxon_p,bootstrap_ci_lo,bootstrap_ci_hi,cohens_d,n_features,significant
aint,1.0,1.0,0.0,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
appositive-pleonastic-pronoun,0.6848,0.6642,-0.0206,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
bare-got,0.7646,0.7439,-0.0207,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
be-construction,0.7679,0.6185,-0.1494,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
bin,0.99,0.936,-0.054,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
come,0.0,0.0,0.0,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
demonstrative-them,0.8006,0.8625,0.0619,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
double-modal,0.0,0.0,0.0,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
double-object,0.8571,0.8571,0.0,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
double-tense,0.0,0.0,0.0,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
existential-it,0.6612,0.6197,-0.0416,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
is-was-gen,0.8068,0.7913,-0.0155,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
multiple-neg,0.9078,0.9123,0.0044,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
n-inv-neg-concord,0.7083,0.375,-0.3333,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
neg-inversion,0.0,0.2458,0.2458,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
past-tense-swap,0.5455,0.5541,0.0086,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
preterite-had,0.634,0.6455,0.0115,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
resultant-done,0.9107,0.9036,-0.0071,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
verb-stem,0.208,0.2377,0.0296,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
zero-3sg-pres-s,0.7856,0.7944,0.0088,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
zero-copula,0.7416,0.7345,-0.0071,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
zero-pl-s,0.7516,0.7664,0.0148,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
zero-poss,0.6356,0.6663,0.0308,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
zero-rel-pronoun,0.5389,0.5027,-0.0362,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
_OVERALL,0.6125,0.6013,-0.0112,80.0,0.546088,-0.0516,0.0247,-0.119,24,False
